Kode Prov,Tenaga Kerja,Persentase Tenaga Kerja Laki-laki,Persentase Tenaga Kerja Formal,Persentase Tenaga Kerja Penuh,Persentase Tenaga Kerja Pemuda,Persentase Tenaga Kerja Dewasa,Pendidikan Tenaga Kerja Pernah Bersekolah,Pendidikan Tenaga Kerja Sekunder,Pendidikan Tenaga Kerja Tersier,Rata-rata Jam Kerja per Minggu,Rata-rata Gaji per Bulan,PDRB ADHB,PDRB ADHB per Tenaga Kerja
11,2203717,62.13043689366648,40.770207789838715,61.981234432551915,14.01432216568643,85.98567783431358,90.7122829292509,32.473407429356854,15.849085885347346,38.27153393964733,1278871.6005725781,146483000000000,66470876.25135169
12,6728431,57.77299343635983,43.277518934206206,68.07863527172977,17.371791432504843,82.62820856749516,89.51540113883905,37.92774273824016,12.523974757265105,41.16974185624756,1350672.2253238533,684070000000000,101668576.2252745
13,2410450,59.3079715405837,35.479101412599306,67.10012653239022,13.421311373395008,86.57868862660499,81.59625796013192,30.307950797568918,14.07023584807816,40.39872287670095,1339931.8123337966,214587000000000,89023626.29384555
14,2915597,66.54078049881379,45.29820136321995,64.2408741674518,15.51376956417502,84.48623043582498,86.95495296503599,34.21566835197045,12.573274015578969,40.447380902081655,1648350.325951769,705678000000000,242035507.6507487
15,1721362,63.21616255035257,44.127673319150766,63.85228673573601,14.992488506194512,85.00751149380548,85.5072901574451,27.672215373640174,12.264880948923004,39.06041282104208,1389420.2398745876,191099000000000,111016160.45898539
16,3963870,61.543996145181346,38.75651825110309,63.0844856163295,13.864430468204054,86.13556953179595,83.84553479301793,27.182904585670066,10.27357103033147,39.52266525885901,1215008.8437902858,383760000000000,96814476.76134686
17,963463,60.94255825080984,31.831839935731832,64.61109559993481,13.199884167840384,86.80011583215962,84.07536148248558,27.92385384804606,12.107055486303056,39.28852872547061,1106554.919898325,60676000000000,62976990.29438598
18,4060377,64.13180352464808,29.204677299669463,63.49533553165138,14.94287353120166,85.05712646879834,84.19053206143174,25.86991306472281,8.450299073214138,39.15729305876959,1099280.3519981026,308452000000000,75966344.9970286
19,701366,64.78258141968672,50.12347333631798,74.85720722133665,15.407504783522441,84.59249521647756,80.38042904845688,29.916049537616594,9.378270403754959,43.244038050183605,1769020.5975795805,69973000000000,99766740.90275262
21,901019,64.28854441471267,67.13865079426739,82.68604768600885,12.849229594492458,87.15077040550754,90.99031207998944,46.03698701137267,18.975737470574984,45.7089773301111,3356082.0732725947,229743000000000,254981304.50079298
31,4726779,61.65617220521627,69.81705723918972,87.15869728624926,11.71163280534165,88.28836719465835,95.57827856982524,42.29184398085884,25.575619253618587,48.05292966005361,3596067.5355342403,2410372e9,509939643.88857615
32,20779888,66.83479237231693,51.780909502495874,79.6063915262681,14.075340540815235,85.92465945918477,89.97872847052881,30.607205390134922,12.043755962496045,45.556872912045826,2153393.295140474,1786091e9,85952869.42836265
33,17245548,57.88164574416539,39.061397179144436,72.89832715086816,11.826826262638916,88.17317373736108,82.33018747795083,23.774031419587246,8.771295641054722,42.45047922011239,1210677.9867060182,1187051e9,68832315.44744186
34,2118392,55.2083372671347,45.58679413441894,71.4630247848368,10.420687011657899,89.5793129883421,87.07883149105548,37.95284347750558,15.957575368487042,41.513467239592536,1206411.0742860623,119174000000000,56256821.211560465
35,20449949,59.0463232940092,38.08016831729018,69.84778788445878,11.220834829465835,88.77916517053417,81.19101910718702,25.684866011157286,9.811183392193302,42.09793656202117,1255700.2252978235,2019199e9,98738583.6512355
36,5332496,65.02949088006818,56.919573873098074,81.71589814600893,12.554083491108104,87.4459165088919,88.38045073076472,32.53962122053162,14.52462411598621,45.0283751462178,2679227.1257274267,564431000000000,105847430.54659581
51,2490870,53.970580560205875,50.36702035834869,76.56738408668457,12.95800262558865,87.04199737441135,83.7484091903632,35.21950161991593,17.181225836755832,44.584521949282546,1739857.1846953072,215361000000000,86460152.47684544
52,2154124,56.569677511601,28.217502799281753,59.72446340136408,16.03969873600591,83.9603012639941,72.92128958221532,24.708559024457273,11.25998317645595,37.31256104943285,991212.4301094088,123928000000000,57530578.55536636
53,2411533,56.34776716719199,23.955923472745344,53.429167255849286,17.546597952422797,82.4534020475772,74.5697861070116,20.43691709796217,10.280307173901415,35.20089304600181,689138.2127866382,91159000000000,37801265.83380779
61,2346881,62.0668453151225,40.51654088980226,64.63421025608031,15.261020903914599,84.7389790960854,76.25789292256403,23.106369688109453,9.29770192864487,39.67497932543395,1328914.7178646894,177469000000000,75619087.63162683
62,1301002,65.30474203729125,48.61060936109245,69.25500498846274,14.708509287456897,85.29149071254311,84.93430448223754,26.903955566555627,12.182302563716274,41.578087227507396,1759595.9912044716,126175000000000,96982940.84098257
63,2021666,60.66259213935437,40.71439100227238,65.71436627019497,13.802873471681277,86.19712652831872,82.04248377328402,24.949323973396197,11.194183411107472,40.341171032326265,1495652.9645074904,159595000000000,78942317.87050878
64,1618285,67.35352549149253,59.91200561087818,78.65549022576369,13.521660276156549,86.47833972384345,90.4784385939436,38.46708089119036,17.037110274148247,46.02865337682184,2707958.913991664,592502000000000,366129575.44561064
65,323400,65.85466914038342,57.826530612244895,69.2291280148423,13.597093382807667,86.40290661719233,87.29189857761286,37.86487322201608,16.13543599257885,41.99063005358785,2229353.9833642547,77406000000000,239350649.35064936
71,1095145,65.46639942655995,44.66824027868456,73.068771715161,11.084103018321775,88.91589698167823,86.79800391728949,34.80105374174196,14.326139460984619,42.87176353010674,2016406.054714216,110164000000000,100593072.1502632
72,1451491,62.213268976521384,33.356114505704824,62.38150977167616,14.699574437595547,85.30042556240446,85.48981702263396,25.067534004688973,12.756055669652792,38.85740813059068,1090401.5506840898,134244000000000,92486966.84994946
73,3774924,61.10568053820421,36.99036060063726,64.28155904595695,16.146974084776275,83.85302591522372,79.14032176541832,26.22516373839579,15.240253843521087,40.037472535818715,1420236.7665733139,418930000000000,110977068.67740913
74,1207488,60.07206696878147,37.00707584671649,63.47624158583771,16.503518047384322,83.49648195261568,83.62973379445593,28.386203423967775,18.054672178936766,39.67677277294397,1212584.7117197025,107465000000000,88998814.06688927
75,555533,62.22060615660996,38.735412657753905,71.58548637074665,14.605973002503902,85.3940269974961,72.27761447114753,21.424109818858643,12.045189034674808,43.77207666181465,1260039.214187096,34547000000000,62187124.79726677
76,619395,60.88102099629478,25.52619895220336,51.93826233663494,16.433132330742094,83.5668676692579,77.11347363152754,21.62255103770615,10.181386675707747,35.042331184255175,809042.1050379806,39617000000000,63960800.45851193
81,700143,61.40188504348397,35.87052930615603,70.11639050879606,13.656495887268743,86.34350411273125,90.24799219587999,35.03098652703805,16.173838772936385,41.86247344042312,1354272.0837486056,39880000000000,56959792.49953224
82,515615,63.238850692861924,33.24360230016582,69.43804970763068,15.10642630644958,84.89357369355042,86.86713924148832,28.87968736363372,15.788136497192673,41.72120878240314,1288092.7294706323,32272000000000,62589335.06589219
91,417544,63.42205851359378,46.1630391048608,71.19129959956317,12.62070584177955,87.37929415822045,82.14128331385436,32.05458586400475,18.06228804628973,43.020917422066375,1896479.5118765926,71789000000000,171931580.86333415
94,1777207,58.029199749944716,22.36891932115955,58.33524175855711,15.320612624190655,84.67938737580934,59.38728578044088,20.870388199011146,9.18171040289623,36.053668426374415,1226216.7381284228,191616000000000,107818616.51456471
