Kode Prov,PDRB ADHB
11,146483000000000
12,684070000000000
13,214587000000000
14,705678000000000
15,191099000000000
16,383760000000000
17,60676000000000
18,308452000000000
19,69973000000000
21,229743000000000
31,2410372e9
32,1786091e9
33,1187051e9
34,119174000000000
35,2019199e9
36,564431000000000
51,215361000000000
52,123928000000000
53,91159000000000
61,177469000000000
62,126175000000000
63,159595000000000
64,592502000000000
65,77406000000000
71,110164000000000
72,134244000000000
73,418930000000000
74,107465000000000
75,34547000000000
76,39617000000000
81,39880000000000
82,32272000000000
91,71789000000000
94,191616000000000
