Kode Prov,Sektor,PDRB ADHB
11,Industri,68964000000000
11,Jasa,34115000000000
11,Pertanian,43404000000000
12,Industri,428614000000000
12,Jasa,109090000000000
12,Pertanian,146366000000000
13,Industri,124074000000000
13,Jasa,39971000000000
13,Pertanian,50542000000000
14,Industri,507421000000000
14,Jasa,31485000000000
14,Pertanian,166772000000000
15,Industri,106159000000000
15,Jasa,28741000000000
15,Pertanian,56199000000000
16,Industri,274044000000000
16,Jasa,48854000000000
16,Pertanian,60862000000000
17,Industri,25859000000000
17,Jasa,17087000000000
17,Pertanian,17730000000000
18,Industri,173258000000000
18,Jasa,41427000000000
18,Pertanian,93767000000000
19,Industri,45592000000000
19,Jasa,11235000000000
19,Pertanian,13146000000000
21,Industri,199405000000000
21,Jasa,22397000000000
21,Pertanian,7941000000000
31,Industri,1440467e9
31,Jasa,967844000000000
31,Pertanian,2061000000000
32,Industri,1414376e9
32,Jasa,218022000000000
32,Pertanian,153693000000000
33,Industri,846378000000000
33,Jasa,173426000000000
33,Pertanian,167247000000000
34,Industri,66972000000000
34,Jasa,40269000000000
34,Pertanian,11933000000000
35,Industri,151868e10
35,Jasa,242091000000000
35,Pertanian,258428000000000
36,Industri,420339000000000
36,Jasa,110958000000000
36,Pertanian,33134000000000
51,Industri,135258000000000
51,Jasa,49201000000000
51,Pertanian,30902000000000
52,Industri,70633000000000
52,Jasa,26065000000000
52,Pertanian,27230000000000
53,Industri,34122000000000
53,Jasa,30853000000000
53,Pertanian,26184000000000
61,Industri,105360000000000
61,Jasa,36091000000000
61,Pertanian,36018000000000
62,Industri,75917000000000
62,Jasa,24137000000000
62,Pertanian,26121000000000
63,Industri,104170000000000
63,Jasa,32133000000000
63,Pertanian,23292000000000
64,Industri,501451000000000
64,Jasa,43905000000000
64,Pertanian,47146000000000
65,Industri,55814000000000
65,Jasa,8957000000000
65,Pertanian,12635000000000
71,Industri,60637000000000
71,Jasa,25823000000000
71,Pertanian,23704000000000
72,Industri,73022000000000
72,Jasa,22404000000000
72,Pertanian,38818000000000
73,Industri,235534000000000
73,Jasa,87501000000000
73,Pertanian,95895000000000
74,Industri,64362000000000
74,Jasa,17226000000000
74,Pertanian,25877000000000
75,Industri,13602000000000
75,Jasa,7815000000000
75,Pertanian,13130000000000
76,Industri,14519000000000
76,Jasa,8643000000000
76,Pertanian,16455000000000
81,Industri,15665000000000
81,Jasa,14723000000000
81,Pertanian,9492000000000
82,Industri,16203000000000
82,Jasa,8341000000000
82,Pertanian,7728000000000
91,Industri,51555000000000
91,Jasa,12384000000000
91,Pertanian,7850000000000
94,Industri,133714000000000
94,Jasa,35625000000000
94,Pertanian,22277000000000
